transaction_id,date,client_id,product_id,quantity,unit_price,total_price,discount,final_price,campaign_id
48,2015-01-23,224,8,1,172.88,172.88,0.0,172.88,
49,2015-01-23,599,2,1,405.66,405.66,0.0,405.66,
50,2015-01-24,384,9,1,123.54,123.54,0.0,123.54,
51,2015-01-24,111,8,1,164.3,164.3,0.0,164.3,
52,2015-01-25,284,5,1,257.81,257.81,0.0,257.81,
53,2015-01-25,193,3,1,702.42,702.42,35.12,667.3,
54,2015-01-25,414,6,1,362.65,362.65,0.0,362.65,
55,2015-01-25,303,5,1,270.35,270.35,0.0,270.35,
56,2015-01-26,598,10,2,31.9,63.8,0.0,63.8,
57,2015-01-26,548,8,1,194.63,194.63,0.0,194.63,
58,2015-01-26,175,9,1,112.35,112.35,5.62,106.73,
59,2015-01-26,573,3,2,762.57,1525.14,0.0,1525.14,
60,2015-01-26,228,6,2,330.63,661.26,0.0,661.26,
61,2015-01-27,340,6,2,333.24,666.48,33.32,633.16,
62,2015-01-27,598,10,1,32.67,32.67,1.63,31.04,
63,2015-01-27,391,9,1,115.16,115.16,11.52,103.64,
64,2015-01-27,351,7,2,329.23,658.46,0.0,658.46,
65,2015-01-28,147,6,2,375.37,750.74,37.54,713.2,
66,2015-01-30,182,6,1,359.41,359.41,35.94,323.47,
67,2015-01-30,173,10,1,31.59,31.59,0.0,31.59,
68,2015-01-31,91,3,1,716.03,716.03,0.0,716.03,
69,2015-01-31,489,7,2,270.28,540.56,0.0,540.56,
70,2015-01-31,15,6,2,367.98,735.96,36.8,699.16,
71,2015-02-01,255,4,2,155.81,311.62,31.16,280.46,
72,2015-02-01,516,10,1,28.84,28.84,1.44,27.4,
73,2015-02-01,298,8,1,188.2,188.2,0.0,188.2,
74,2015-02-01,138,6,1,384.73,384.73,0.0,384.73,
75,2015-02-01,169,7,1,271.15,271.15,13.56,257.59,
76,2015-02-02,23,10,2,30.03,60.06,9.01,51.05,
77,2015-02-02,39,7,1,322.59,322.59,48.39,274.2,
78,2015-02-02,50,2,1,463.82,463.82,115.95,347.87,
79,2015-02-02,390,2,1,454.26,454.26,22.71,431.55,
80,2015-02-03,309,7,1,309.7,309.7,0.0,309.7,
81,2015-02-03,141,7,1,319.84,319.84,47.98,271.86,
82,2015-02-03,290,2,2,475.63,951.26,0.0,951.26,
83,2015-02-03,270,9,1,131.35,131.35,0.0,131.35,
84,2015-02-04,165,1,1,201.93,201.93,0.0,201.93,
85,2015-02-04,493,6,2,331.42,662.84,33.14,629.7,
86,2015-02-04,588,8,2,167.37,334.74,66.95,267.79,
87,2015-02-04,263,4,1,148.7,148.7,0.0,148.7,
88,2015-02-05,52,2,1,478.19,478.19,0.0,478.19,
89,2015-02-05,369,6,2,344.82,689.64,68.96,620.68,
90,2015-02-06,175,6,1,340.03,340.03,0.0,340.03,
91,2015-02-06,96,6,1,372.05,372.05,37.21,334.84,
92,2015-02-07,468,5,1,266.79,266.79,0.0,266.79,
93,2015-02-08,432,3,2,645.83,1291.66,64.58,1227.08,
94,2015-02-08,107,7,1,324.67,324.67,0.0,324.67,
95,2015-02-08,449,3,1,715.59,715.59,0.0,715.59,
96,2015-02-09,134,8,2,195.13,390.26,39.03,351.23,
97,2015-02-09,65,5,2,257.75,515.5,77.33,438.17,
98,2015-02-09,591,10,2,28.34,56.68,0.0,56.68,
99,2015-02-10,532,9,2,124.52,249.04,0.0,249.04,
100,2015-02-10,255,8,1,174.45,174.45,0.0,174.45,
101,2015-02-10,572,10,1,27.33,27.33,2.73,24.6,
102,2015-02-11,508,3,1,640.48,640.48,0.0,640.48,
103,2015-02-11,285,1,2,200.28,400.56,0.0,400.56,
104,2015-02-12,241,2,2,446.32,892.64,0.0,892.64,
105,2015-02-12,511,8,2,173.38,346.76,0.0,346.76,
106,2015-02-12,19,2,1,441.31,441.31,88.26,353.05,
107,2015-02-12,312,9,1,121.5,121.5,0.0,121.5,
108,2015-02-12,350,6,1,372.77,372.77,0.0,372.77,
109,2015-02-12,340,9,1,126.42,126.42,0.0,126.42,
110,2015-02-12,373,8,2,166.1,332.2,0.0,332.2,
111,2015-02-12,350,6,2,373.09,746.18,0.0,746.18,
112,2015-02-13,535,6,1,364.15,364.15,18.21,345.94,
113,2015-02-13,420,2,1,427.89,427.89,21.39,406.5,
114,2015-02-14,403,4,2,148.71,297.42,0.0,297.42,
115,2015-02-15,111,7,2,272.79,545.58,0.0,545.58,
116,2015-02-15,127,8,1,178.47,178.47,0.0,178.47,
117,2015-02-15,511,1,1,201.21,201.21,20.12,181.09,
118,2015-02-15,495,9,2,126.75,253.5,0.0,253.5,
119,2015-02-15,178,3,1,644.5,644.5,0.0,644.5,
120,2015-02-16,330,9,1,129.15,129.15,0.0,129.15,
121,2015-02-16,255,5,2,244.89,489.78,0.0,489.78,
122,2015-02-16,137,3,1,687.78,687.78,0.0,687.78,
123,2015-02-16,307,9,2,128.66,257.32,0.0,257.32,
124,2015-02-17,223,4,2,141.29,282.58,0.0,282.58,
125,2015-02-17,136,3,1,700.55,700.55,0.0,700.55,
126,2015-02-17,119,6,2,354.36,708.72,0.0,708.72,
127,2015-02-17,428,9,1,114.86,114.86,0.0,114.86,
128,2015-02-19,536,2,2,407.27,814.54,203.63,610.91,
129,2015-02-19,165,5,1,259.17,259.17,12.96,246.21,
130,2015-02-19,303,4,1,157.61,157.61,23.64,133.97,
131,2015-02-19,575,7,1,284.26,284.26,0.0,284.26,
132,2015-02-19,295,1,2,217.06,434.12,0.0,434.12,
133,2015-02-19,321,9,1,109.29,109.29,0.0,109.29,
134,2015-02-20,454,4,2,162.34,324.68,0.0,324.68,
135,2015-02-21,560,10,1,28.18,28.18,2.82,25.36,
136,2015-02-21,182,2,2,421.83,843.66,168.73,674.93,
137,2015-02-22,439,5,2,252.83,505.66,75.85,429.81,
138,2015-02-22,6,6,1,347.64,347.64,34.76,312.88,
139,2015-02-22,53,10,2,32.06,64.12,0.0,64.12,
140,2015-02-23,564,6,2,320.1,640.2,0.0,640.2,
141,2015-02-23,189,9,1,109.64,109.64,0.0,109.64,
142,2015-02-24,550,7,2,275.52,551.04,27.55,523.49,
143,2015-02-24,340,6,1,335.55,335.55,0.0,335.55,
144,2015-02-24,487,9,2,127.77,255.54,25.55,229.99,
145,2015-02-25,457,4,2,162.13,324.26,0.0,324.26,
146,2015-02-25,41,6,2,341.7,683.4,68.34,615.06,
147,2015-02-25,554,5,2,226.24,452.48,0.0,452.48,
148,2015-02-25,527,9,1,118.69,118.69,23.74,94.95,
149,2015-02-25,99,3,1,766.03,766.03,0.0,766.03,
150,2015-02-25,68,4,1,155.11,155.11,0.0,155.11,
151,2015-02-25,435,2,2,423.5,847.0,0.0,847.0,
152,2015-02-26,446,2,2,472.22,944.44,94.44,850.0,
153,2015-02-26,39,2,1,411.59,411.59,41.16,370.43,
154,2015-02-26,589,4,2,162.33,324.66,0.0,324.66,
155,2015-02-27,415,7,2,288.98,577.96,28.9,549.06,
156,2015-02-27,65,10,2,27.27,54.54,0.0,54.54,
157,2015-02-28,515,2,1,431.09,431.09,0.0,431.09,
158,2015-02-28,289,8,2,175.73,351.46,17.57,333.89,
159,2015-03-01,547,4,1,139.09,139.09,0.0,139.09,
160,2015-03-01,559,5,2,273.01,546.02,81.9,464.12,
161,2015-03-01,383,1,2,202.14,404.28,20.21,384.07,
162,2015-03-02,587,10,2,29.36,58.72,2.94,55.78,
163,2015-03-02,353,4,1,147.38,147.38,0.0,147.38,
164,2015-03-03,165,3,2,660.91,1321.82,66.09,1255.73,
165,2015-03-03,581,1,1,214.06,214.06,0.0,214.06,
166,2015-03-04,473,9,2,109.76,219.52,0.0,219.52,
167,2015-03-04,203,10,1,29.92,29.92,1.5,28.42,
168,2015-03-04,103,5,1,255.98,255.98,0.0,255.98,
169,2015-03-05,462,6,1,358.14,358.14,0.0,358.14,
170,2015-03-05,580,10,1,29.19,29.19,0.0,29.19,
171,2015-03-06,5,6,1,332.23,332.23,49.83,282.4,
172,2015-03-06,284,6,1,324.4,324.4,0.0,324.4,
173,2015-03-06,474,8,2,174.91,349.82,0.0,349.82,
174,2015-03-07,180,10,2,27.49,54.98,2.75,52.23,
175,2015-03-07,202,5,2,261.68,523.36,0.0,523.36,
176,2015-03-07,20,9,1,123.16,123.16,0.0,123.16,
177,2015-03-07,218,1,1,202.06,202.06,0.0,202.06,
178,2015-03-08,484,3,2,681.21,1362.42,204.36,1158.06,
179,2015-03-11,298,3,2,695.06,1390.12,0.0,1390.12,
180,2015-03-11,515,1,1,206.51,206.51,0.0,206.51,
181,2015-03-11,170,9,1,111.37,111.37,16.71,94.66,
182,2015-03-12,150,8,2,195.81,391.62,39.16,352.46,
183,2015-03-12,271,6,1,331.38,331.38,0.0,331.38,
184,2015-03-12,370,7,2,298.18,596.36,59.64,536.72,
185,2015-03-14,106,9,2,123.21,246.42,36.96,209.46,
186,2015-03-14,558,10,2,28.04,56.08,0.0,56.08,
187,2015-03-14,80,9,2,114.04,228.08,0.0,228.08,
188,2015-03-14,416,6,2,372.21,744.42,0.0,744.42,
189,2015-03-15,7,9,2,129.17,258.34,0.0,258.34,
190,2015-03-16,527,5,1,235.58,235.58,23.56,212.02,
191,2015-03-16,122,4,1,147.44,147.44,14.74,132.7,
192,2015-03-16,491,4,1,152.72,152.72,0.0,152.72,
193,2015-03-16,250,1,1,185.12,185.12,9.26,175.86,
194,2015-03-17,587,3,1,637.83,637.83,31.89,605.94,
195,2015-03-17,416,10,1,32.82,32.82,0.0,32.82,
196,2015-03-17,291,2,2,424.49,848.98,0.0,848.98,
197,2015-03-18,494,3,1,660.71,660.71,33.04,627.67,
198,2015-03-19,524,5,2,233.39,466.78,0.0,466.78,
199,2015-03-19,71,4,2,146.35,292.7,14.63,278.07,
200,2015-03-19,517,7,2,319.59,639.18,31.96,607.22,
201,2015-03-20,545,9,1,126.06,126.06,25.21,100.85,
202,2015-03-20,442,9,2,118.1,236.2,0.0,236.2,
203,2015-03-21,440,4,1,163.15,163.15,0.0,163.15,
204,2015-03-21,359,10,2,31.83,63.66,0.0,63.66,
205,2015-03-21,590,2,2,443.29,886.58,44.33,842.25,
206,2015-03-21,86,5,1,254.91,254.91,0.0,254.91,
207,2015-03-21,6,1,1,203.12,203.12,10.16,192.96,
208,2015-03-22,211,6,2,343.62,687.24,68.72,618.52,
209,2015-03-22,260,5,2,267.75,535.5,0.0,535.5,
210,2015-03-23,283,7,1,315.3,315.3,0.0,315.3,
211,2015-03-23,495,3,1,681.83,681.83,0.0,681.83,
212,2015-03-23,315,10,2,29.07,58.14,0.0,58.14,
213,2015-03-23,122,4,1,148.4,148.4,7.42,140.98,
214,2015-03-24,521,7,1,317.16,317.16,0.0,317.16,
215,2015-03-24,54,3,1,684.47,684.47,0.0,684.47,
216,2015-03-24,149,8,2,195.33,390.66,19.53,371.13,
217,2015-03-26,380,2,2,459.81,919.62,0.0,919.62,
218,2015-03-26,411,10,1,30.94,30.94,6.19,24.75,
219,2015-03-27,507,8,1,162.39,162.39,0.0,162.39,
220,2015-03-27,531,5,2,234.74,469.48,0.0,469.48,
221,2015-03-27,238,10,1,28.02,28.02,1.4,26.62,
222,2015-03-27,162,2,1,494.71,494.71,0.0,494.71,
223,2015-03-28,405,7,2,305.16,610.32,0.0,610.32,
224,2015-03-28,71,2,2,454.46,908.92,0.0,908.92,
225,2015-03-28,597,6,1,339.32,339.32,0.0,339.32,
226,2015-03-29,200,8,1,195.47,195.47,0.0,195.47,
227,2015-03-30,417,9,2,110.56,221.12,22.11,199.01,
228,2015-03-30,120,9,1,130.96,130.96,0.0,130.96,
229,2015-03-31,589,5,1,259.71,259.71,0.0,259.71,
230,2015-03-31,250,6,2,382.29,764.58,0.0,764.58,
231,2015-04-01,29,8,2,166.19,332.38,49.86,282.52,
232,2015-04-02,226,4,2,159.0,318.0,0.0,318.0,
233,2015-04-02,549,1,1,208.03,208.03,41.61,166.42,
234,2015-04-03,78,9,2,130.35,260.7,0.0,260.7,
235,2015-04-03,588,5,2,234.14,468.28,0.0,468.28,
236,2015-04-03,195,8,2,188.54,377.08,18.85,358.23,
237,2015-04-03,212,4,1,141.08,141.08,21.16,119.92,
238,2015-04-03,110,2,1,487.82,487.82,0.0,487.82,
239,2015-04-04,7,9,1,130.99,130.99,0.0,130.99,
240,2015-04-04,323,8,1,194.33,194.33,0.0,194.33,
241,2015-04-04,282,8,1,168.58,168.58,0.0,168.58,
242,2015-04-04,408,4,2,157.51,315.02,47.25,267.77,
243,2015-04-05,490,9,2,108.78,217.56,0.0,217.56,
244,2015-04-06,179,8,2,197.15,394.3,0.0,394.3,
245,2015-04-06,9,1,1,206.96,206.96,20.7,186.26,
246,2015-04-06,266,3,1,706.8,706.8,70.68,636.12,
247,2015-04-06,352,6,2,327.87,655.74,0.0,655.74,
248,2015-04-06,382,6,1,374.8,374.8,18.74,356.06,
249,2015-04-07,590,4,2,159.43,318.86,0.0,318.86,
250,2015-04-07,569,7,1,321.38,321.38,64.28,257.1,
251,2015-04-09,181,7,1,299.98,299.98,0.0,299.98,
252,2015-04-09,530,9,1,125.29,125.29,0.0,125.29,
253,2015-04-09,576,10,2,27.29,54.58,8.19,46.39,
254,2015-04-10,488,2,1,445.49,445.49,0.0,445.49,
255,2015-04-11,574,9,2,130.36,260.72,13.04,247.68,
256,2015-04-11,360,10,2,28.19,56.38,0.0,56.38,
257,2015-04-11,179,5,2,242.76,485.52,0.0,485.52,
258,2015-04-11,458,2,2,439.3,878.6,131.79,746.81,
259,2015-04-11,172,6,2,344.53,689.06,0.0,689.06,
260,2015-04-12,74,2,1,419.58,419.58,41.96,377.62,
261,2015-04-13,274,10,2,30.87,61.74,6.17,55.57,
262,2015-04-14,372,10,1,30.13,30.13,1.51,28.62,
263,2015-04-14,129,4,1,154.86,154.86,0.0,154.86,
264,2015-04-15,82,4,1,140.01,140.01,7.0,133.01,
265,2015-04-15,485,9,1,109.29,109.29,0.0,109.29,
266,2015-04-16,86,2,1,428.62,428.62,64.29,364.33,
267,2015-04-16,400,5,2,236.47,472.94,0.0,472.94,
268,2015-04-17,130,3,1,703.74,703.74,35.19,668.55,
269,2015-04-17,334,8,1,178.82,178.82,0.0,178.82,
270,2015-04-18,562,8,1,166.86,166.86,0.0,166.86,
271,2015-04-18,468,10,1,29.61,29.61,0.0,29.61,
272,2015-04-19,356,8,2,181.43,362.86,0.0,362.86,
273,2015-04-20,375,7,2,285.59,571.18,28.56,542.62,
274,2015-04-20,353,5,1,248.46,248.46,24.85,223.61,
275,2015-04-20,489,5,1,225.46,225.46,0.0,225.46,
276,2015-04-20,237,1,1,201.93,201.93,30.29,171.64,
277,2015-04-21,256,3,2,730.09,1460.18,0.0,1460.18,
278,2015-04-21,226,5,1,228.96,228.96,0.0,228.96,
279,2015-04-21,279,5,2,257.42,514.84,0.0,514.84,
280,2015-04-22,193,2,1,421.42,421.42,63.21,358.21,
281,2015-04-22,464,5,2,260.02,520.04,0.0,520.04,
282,2015-04-22,156,1,1,218.79,218.79,10.94,207.85,
283,2015-04-22,129,8,2,188.18,376.36,37.64,338.72,
284,2015-04-22,351,7,1,288.69,288.69,0.0,288.69,
285,2015-04-22,475,1,1,193.21,193.21,0.0,193.21,
286,2015-04-22,58,5,1,263.78,263.78,52.76,211.02,
287,2015-04-23,391,1,2,184.88,369.76,0.0,369.76,
288,2015-04-23,454,4,1,157.13,157.13,15.71,141.42,
289,2015-04-23,97,9,2,123.98,247.96,24.8,223.16,
290,2015-04-25,320,6,1,326.1,326.1,0.0,326.1,
291,2015-04-25,563,9,2,110.93,221.86,0.0,221.86,
292,2015-04-25,370,1,2,214.55,429.1,21.46,407.64,
293,2015-04-26,445,6,1,316.05,316.05,0.0,316.05,
294,2015-04-26,406,4,1,135.27,135.27,20.29,114.98,
295,2015-04-26,159,6,1,368.96,368.96,73.79,295.17,
296,2015-04-27,62,1,1,194.22,194.22,29.13,165.09,
297,2015-04-27,129,8,1,170.38,170.38,0.0,170.38,
298,2015-04-27,356,8,2,188.39,376.78,37.68,339.1,
299,2015-04-27,138,5,2,269.93,539.86,0.0,539.86,
300,2015-04-27,302,9,1,124.73,124.73,6.24,118.49,
301,2015-04-27,332,8,2,171.91,343.82,0.0,343.82,
302,2015-04-27,568,3,1,639.64,639.64,63.96,575.68,
303,2015-04-27,555,6,2,346.79,693.58,0.0,693.58,
304,2015-04-28,190,1,1,204.79,204.79,0.0,204.79,
305,2015-04-28,329,2,2,464.25,928.5,0.0,928.5,
306,2015-04-28,537,8,1,189.57,189.57,18.96,170.61,
307,2015-04-28,330,2,2,413.66,827.32,41.37,785.95,
308,2015-04-28,183,1,2,188.08,376.16,37.62,338.54,
309,2015-04-29,502,9,2,122.98,245.96,12.3,233.66,
310,2015-04-29,73,1,1,217.21,217.21,21.72,195.49,
311,2015-04-29,82,8,1,190.84,190.84,28.63,162.21,
312,2015-04-29,426,6,1,370.6,370.6,55.59,315.01,
313,2015-04-30,42,2,1,480.1,480.1,24.01,456.09,
314,2015-05-01,100,2,2,470.27,940.54,47.03,893.51,
315,2015-05-01,184,9,2,125.98,251.96,25.2,226.76,
316,2015-05-02,438,2,1,420.01,420.01,42.0,378.01,
317,2015-05-02,547,10,1,29.66,29.66,0.0,29.66,
318,2015-05-02,333,6,2,343.86,687.72,34.39,653.33,1
319,2015-05-02,247,10,2,30.27,60.54,0.0,60.54,
320,2015-05-02,369,8,2,178.11,356.22,0.0,356.22,
321,2015-05-03,17,9,1,111.24,111.24,11.12,100.12,1
322,2015-05-04,323,1,2,210.86,421.72,0.0,421.72,
323,2015-05-04,524,9,1,121.7,121.7,18.26,103.44,1
324,2015-05-04,142,5,1,243.35,243.35,0.0,243.35,
325,2015-05-06,95,10,2,29.4,58.8,0.0,58.8,
326,2015-05-06,495,3,1,698.36,698.36,0.0,698.36,
327,2015-05-07,98,10,2,30.85,61.7,9.26,52.44,
328,2015-05-08,343,6,2,376.59,753.18,37.66,715.52,1
329,2015-05-08,233,10,1,32.57,32.57,1.63,30.94,1
330,2015-05-09,537,1,2,192.77,385.54,0.0,385.54,
331,2015-05-09,157,1,1,206.95,206.95,0.0,206.95,
332,2015-05-09,590,9,2,110.16,220.32,11.02,209.3,1
333,2015-05-09,345,2,2,447.83,895.66,44.78,850.88,1
334,2015-05-10,409,9,1,118.43,118.43,0.0,118.43,
335,2015-05-11,203,8,2,176.23,352.46,0.0,352.46,
336,2015-05-11,537,4,2,142.27,284.54,28.45,256.09,
337,2015-05-11,92,2,1,465.46,465.46,23.27,442.19,1
338,2015-05-12,25,5,1,233.46,233.46,0.0,233.46,
339,2015-05-13,150,8,1,163.62,163.62,24.54,139.08,1
340,2015-05-14,88,2,1,471.56,471.56,70.73,400.83,
341,2015-05-14,295,1,1,193.73,193.73,0.0,193.73,
342,2015-05-15,340,4,1,157.2,157.2,31.44,125.76,1
343,2015-05-15,495,10,1,31.38,31.38,6.28,25.1,1
344,2015-05-16,540,1,2,190.22,380.44,19.02,361.42,
345,2015-05-16,55,8,1,185.57,185.57,18.56,167.01,
346,2015-05-16,369,2,2,406.72,813.44,40.67,772.77,1
347,2015-05-16,390,9,1,131.44,131.44,13.14,118.3,
348,2015-05-17,91,3,1,657.84,657.84,0.0,657.84,
349,2015-05-17,41,4,1,162.67,162.67,0.0,162.67,
350,2015-05-17,19,6,2,362.9,725.8,0.0,725.8,
351,2015-05-18,514,5,2,265.59,531.18,0.0,531.18,
352,2015-05-18,31,9,2,130.78,261.56,26.16,235.4,
353,2015-05-19,90,7,1,301.24,301.24,0.0,301.24,
354,2015-05-20,428,4,1,152.19,152.19,0.0,152.19,
355,2015-05-20,460,9,1,111.16,111.16,0.0,111.16,
356,2015-05-23,208,3,2,673.26,1346.52,67.33,1279.19,1
357,2015-05-23,149,10,1,32.5,32.5,0.0,32.5,
358,2015-05-23,122,3,2,674.46,1348.92,0.0,1348.92,
359,2015-05-23,424,7,2,288.2,576.4,0.0,576.4,
360,2015-05-23,281,3,2,739.08,1478.16,221.72,1256.44,
361,2015-05-24,237,10,2,28.39,56.78,0.0,56.78,
362,2015-05-24,489,3,1,700.33,700.33,35.02,665.31,1
363,2015-05-24,397,8,2,179.06,358.12,35.81,322.31,
364,2015-05-24,423,4,2,157.27,314.54,15.73,298.81,1
365,2015-05-25,450,10,1,29.94,29.94,1.5,28.44,1
366,2015-05-25,415,1,1,204.32,204.32,10.22,194.1,1
367,2015-05-25,586,10,2,30.22,60.44,3.02,57.42,1
368,2015-05-26,112,8,2,178.45,356.9,17.84,339.06,1
369,2015-05-27,551,7,1,329.03,329.03,32.9,296.13,
370,2015-05-27,51,4,2,143.74,287.48,0.0,287.48,
371,2015-05-28,473,3,1,689.14,689.14,34.46,654.68,
372,2015-05-29,463,2,1,470.04,470.04,70.51,399.53,
373,2015-05-29,139,7,1,294.81,294.81,14.74,280.07,
374,2015-05-29,93,5,1,241.2,241.2,12.06,229.14,1
375,2015-05-30,127,2,1,415.27,415.27,0.0,415.27,
376,2015-05-30,394,9,1,122.69,122.69,18.4,104.29,
377,2015-05-30,344,10,2,32.23,64.46,6.44,58.02,1
378,2015-05-30,53,7,2,288.48,576.96,28.85,548.11,1
379,2015-05-31,186,2,1,485.87,485.87,72.88,412.99,1
380,2015-05-31,510,8,1,181.57,181.57,18.16,163.41,
381,2015-05-31,488,8,2,176.77,353.54,88.39,265.15,
382,2015-05-31,571,4,2,136.47,272.94,54.59,218.35,1
383,2015-06-01,34,10,1,32.03,32.03,4.8,27.23,
384,2015-06-01,166,5,1,255.55,255.55,0.0,255.55,
385,2015-06-02,182,8,1,188.98,188.98,28.35,160.63,1
386,2015-06-03,389,2,2,473.26,946.52,141.98,804.54,1
387,2015-06-04,282,6,2,351.89,703.78,0.0,703.78,
388,2015-06-04,112,10,2,31.38,62.76,0.0,62.76,
389,2015-06-04,295,7,1,306.53,306.53,0.0,306.53,
390,2015-06-05,363,3,1,716.0,716.0,0.0,716.0,
391,2015-06-05,185,10,1,28.4,28.4,2.84,25.56,
392,2015-06-05,121,4,1,158.99,158.99,7.95,151.04,1
393,2015-06-05,574,4,1,135.34,135.34,20.3,115.04,1
394,2015-06-05,308,9,2,121.2,242.4,36.36,206.04,1
395,2015-06-06,583,10,2,32.76,65.52,6.55,58.97,
396,2015-06-06,491,8,1,190.7,190.7,0.0,190.7,
397,2015-06-06,550,6,1,347.37,347.37,17.37,330.0,1
398,2015-06-07,534,5,2,253.25,506.5,25.33,481.17,1
399,2015-06-07,592,6,1,370.97,370.97,0.0,370.97,
400,2015-06-07,288,1,1,193.57,193.57,9.68,183.89,1
401,2015-06-07,399,3,2,713.33,1426.66,0.0,1426.66,
402,2015-06-08,323,1,2,190.86,381.72,19.09,362.63,
403,2015-06-08,310,4,2,150.75,301.5,30.15,271.35,
404,2015-06-08,95,8,2,180.22,360.44,18.02,342.42,1
405,2015-06-08,349,8,2,188.37,376.74,18.84,357.9,1
406,2015-06-09,101,9,1,124.24,124.24,31.06,93.18,
407,2015-06-09,535,2,1,405.37,405.37,0.0,405.37,
408,2015-06-10,90,6,2,347.68,695.36,104.3,591.06,
409,2015-06-10,24,10,1,31.55,31.55,1.58,29.97,1
410,2015-06-10,294,5,1,251.61,251.61,12.58,239.03,1
411,2015-06-11,162,5,2,230.72,461.44,23.07,438.37,1
412,2015-06-11,556,6,2,353.46,706.92,106.04,600.88,
413,2015-06-11,176,2,1,433.02,433.02,21.65,411.37,1
414,2015-06-11,30,8,1,194.52,194.52,48.63,145.89,1
415,2015-06-12,457,10,2,29.13,58.26,2.91,55.35,
416,2015-06-13,477,10,2,27.79,55.58,0.0,55.58,
417,2015-06-13,467,5,2,259.22,518.44,25.92,492.52,1
418,2015-06-14,230,3,1,750.55,750.55,37.53,713.02,1
419,2015-06-14,339,6,1,346.73,346.73,69.35,277.38,
420,2015-06-14,175,5,2,263.4,526.8,26.34,500.46,
421,2015-06-15,110,6,2,353.93,707.86,70.79,637.07,
422,2015-06-15,424,4,1,153.63,153.63,7.68,145.95,1
423,2015-06-15,349,4,2,159.42,318.84,0.0,318.84,
424,2015-06-15,351,9,1,124.66,124.66,37.39,87.27,1
425,2015-06-15,475,6,2,353.86,707.72,106.16,601.56,1
426,2015-06-15,112,10,1,31.63,31.63,0.0,31.63,
427,2015-06-16,93,4,1,159.51,159.51,0.0,159.51,
428,2015-06-16,1,3,2,722.52,1445.04,0.0,1445.04,
429,2015-06-16,458,4,2,141.17,282.34,0.0,282.34,
430,2015-06-16,312,7,2,313.07,626.14,0.0,626.14,
431,2015-06-17,523,7,2,320.86,641.72,64.18,577.54,1
432,2015-06-17,574,6,1,322.68,322.68,16.13,306.55,
